trade_id,open_time,close_time,duration_minutes,symbol,direction,volume,entry_price,exit_price,sl,tp,pnl,pnl_pips,win,open_hour,open_day_of_week,session,open_atr,open_rsi,open_ema_trend,ai_confidence,ai_reasoning,close_reason
6639428145,,,0.0,XAUUSD,SELL,0.01,0,5091.47,0,0,2.19,0,1,22,Wednesday,,0,0,,0,,unknown
6639638119,,,0.0,XAUUSD,SELL,0.01,0,5086.7,0,0,-4.09,0,0,22,Wednesday,,0,0,,0,,unknown
6639942397,,,0.0,XAUUSD,BUY,0.01,0,5075.0,0,0,8.84,0,1,22,Wednesday,,0,0,,0,,unknown
55034214450,,,8.333333333333334e-08,XAUUSD,BUY,0.01,0,4988.47,0,0,-0.43,0,0,21,Monday,,0,0,,0,,unknown
55035572288,,,5.0000000000000004e-08,EURUSD,BUY,0.01,0,1.1850100000000001,0,0,-0.03,0,0,23,Monday,,0,0,,0,,unknown
55035572430,,,3.3333333333333334e-08,XAUUSD,SELL,0.01,0,4993.01,0,0,-0.39,0,0,23,Monday,,0,0,,0,,unknown
55036192561,,,5.0000000000000004e-08,EURUSD,SELL,0.08,0,1.18541,0,0,1.04,0,1,1,Tuesday,,0,0,,0,,unknown
55036195558,,,6.666666666666667e-08,EURUSD,SELL,0.08,0,1.18541,0,0,0.0,0,0,1,Tuesday,,0,0,,0,,unknown
55036209285,,,5.0000000000000004e-08,EURUSD,SELL,0.08,0,1.18526,0,0,-0.24,0,0,1,Tuesday,,0,0,,0,,unknown
55042979839,,,6.666666666666667e-08,EURUSD,BUY,0.08,0,1.18334,0,0,12.0,0,1,19,Tuesday,,0,0,,0,,unknown
55043104315,,,5.0000000000000004e-08,XAUUSD,BUY,0.01,0,4918.87,0,0,1.34,0,1,19,Tuesday,,0,0,,0,,unknown
55043319224,,,6.666666666666667e-08,XAUUSD,SELL,0.01,0,4919.43,0,0,2.87,0,1,19,Tuesday,,0,0,,0,,unknown
55043551627,,,6.666666666666667e-08,XAUUSD,SELL,0.01,0,4919.75,0,0,-5.1,0,0,19,Tuesday,,0,0,,0,,unknown
55043667131,,,5.0000000000000004e-08,XAUUSD,SELL,0.01,0,4926.61,0,0,2.72,0,1,19,Tuesday,,0,0,,0,,unknown
55043739992,,,6.666666666666667e-08,EURUSD,BUY,0.05,0,1.18337,0,0,-1.25,0,0,19,Tuesday,,0,0,,0,,unknown
55057348950,,,6.666666666666667e-08,XAUUSD,BUY,0.01,0,4858.54,0,0,1.87,0,1,21,Tuesday,,0,0,,0,,unknown
55060330329,,,5.0000000000000004e-08,XAUUSD,BUY,0.01,0,4878.35,0,0,4.44,0,1,9,Wednesday,,0,0,,0,,unknown
