instrument,entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lot_size,pnl,exit_reason,balance
EURUSD,2025-03-31 11:45:00,2025-03-31 13:00:00,SELL,1.0825399999999998,1.0808,1.0835517142857143,1.0809665714285712,0.02,3.4799999999997056,TP,283.299999999998
XAUUSD,2025-04-01 08:45:00,2025-04-01 10:30:00,BUY,3132.27,3126.28,3127.3342857142857,3141.541428571429,0.01,-6.059999999999782,SL,277.23999999999825
XAUUSD,2025-04-02 03:00:00,2025-04-02 03:45:00,BUY,3113.91,3122.92,3113.91,3121.567857142857,0.01,8.940000000000218,TP,286.1799999999985
EURUSD,2025-04-03 19:00:00,2025-04-03 22:15:00,SELL,1.1047,1.10189,1.1047,1.1019788571428577,0.01,2.809999999999979,TP,288.9899999999985
XAUUSD,2025-04-04 05:15:00,2025-04-04 07:30:00,SELL,3104.25,3104.29,3104.25,3092.522857142857,0.01,-0.10999999999996363,SL,288.8799999999985
XAUUSD,2025-04-04 14:30:00,2025-04-04 15:00:00,BUY,3109.64,3092.97,3095.210357142857,3137.899285714286,0.01,-16.740000000000073,SL,272.13999999999845
EURUSD,2025-04-07 01:45:00,2025-04-07 03:00:00,BUY,1.0983500000000002,1.0951,1.0968242857142858,1.1009514285714286,0.01,-3.250000000000197,SL,268.8899999999983
XAUUSD,2025-04-07 17:00:00,2025-04-07 18:00:00,SELL,3026.3300000000004,2984.78,3026.3300000000004,2995.4264285714294,0.01,41.48000000000018,TP,310.36999999999847
EURUSD,2025-04-08 10:00:00,2025-04-08 10:45:00,SELL,1.09751,1.0923,1.09751,1.0943022857142861,0.01,5.209999999999936,TP,315.5799999999984
EURUSD,2025-04-10 04:15:00,2025-04-10 04:45:00,BUY,1.09846,1.09713,1.0976467142857143,1.0996365714285712,0.02,-2.6600000000001067,SL,312.9199999999983
EURUSD,2025-04-10 05:15:00,2025-04-10 06:00:00,BUY,1.0968200000000001,1.09871,1.096020142857143,1.097969714285714,0.02,3.7799999999998946,TP,316.6999999999982
EURUSD,2025-04-11 22:00:00,2025-04-14 04:00:00,BUY,1.13212,1.13777,1.13212,1.1374802857142856,0.01,5.649999999999933,TP,322.34999999999815
XAUUSD,2025-04-14 04:00:00,2025-04-14 05:00:00,BUY,3220.97,3243.63,3220.97,3240.7050000000004,0.01,22.59000000000031,TP,344.93999999999846
EURUSD,2025-04-14 17:45:00,2025-04-14 19:45:00,SELL,1.13655,1.13302,1.1376981428571429,1.1347037142857144,0.02,7.060000000000066,TP,351.9999999999985
XAUUSD,2025-04-15 20:00:00,2025-04-16 01:30:00,BUY,3221.6,3238.82,3221.6,3236.8178571428575,0.01,17.150000000000254,TP,369.1499999999988
EURUSD,2025-04-16 01:30:00,2025-04-16 03:00:00,BUY,1.12962,1.13126,1.1286647142857145,1.131080571428571,0.02,3.2799999999997276,TP,372.42999999999853
EURUSD,2025-04-16 15:30:00,2025-04-16 16:15:00,SELL,1.13546,1.13679,1.1366364285714285,1.133557142857143,0.02,-2.6600000000001067,SL,369.76999999999845
XAUUSD,2025-04-17 04:45:00,2025-04-17 05:00:00,SELL,3323.7000000000003,3335.08,3333.6307142857145,3304.4385714285713,0.01,-11.449999999999655,SL,358.3199999999988
EURUSD,2025-04-17 10:00:00,2025-04-17 13:30:00,BUY,1.13666,1.13639,1.13666,1.1382722857142853,0.02,-0.5399999999999849,SL,357.77999999999884
XAUUSD,2025-04-22 10:30:00,2025-04-22 15:45:00,SELL,3473.51,3431.38,3473.51,3442.5207142857143,0.01,42.06000000000011,TP,399.83999999999895
XAUUSD,2025-04-24 12:30:00,2025-04-24 16:30:00,BUY,3330.3399999999997,3316.48,3318.1635714285712,3354.092857142857,0.01,-13.929999999999673,SL,385.9099999999993
EURUSD,2025-04-25 22:00:00,2025-04-25 22:45:00,SELL,1.1376,1.13587,1.1381852857142858,1.1368794285714285,0.04,6.920000000000037,TP,392.8299999999993
EURUSD,2025-04-28 07:00:00,2025-04-28 07:45:00,BUY,1.13598,1.13718,1.135319,1.1368519999999998,0.04,4.8000000000003595,TP,397.62999999999965
EURUSD,2025-04-28 16:00:00,2025-04-28 16:30:00,BUY,1.1347200000000002,1.13714,1.1340017142857144,1.1357065714285715,0.03,7.2599999999996,TP,404.88999999999925
EURUSD,2025-04-29 03:15:00,2025-04-29 05:00:00,SELL,1.14042,1.14185,1.1416544285714285,1.1384011428571432,0.02,-2.8600000000000847,SL,402.0299999999992
EURUSD,2025-04-29 05:15:00,2025-04-29 07:30:00,SELL,1.1406699999999999,1.13811,1.1406699999999999,1.1382360000000002,0.02,5.119999999999791,TP,407.14999999999895
EURUSD,2025-04-30 08:00:00,2025-04-30 09:15:00,BUY,1.13759,1.13875,1.136946,1.138428,0.04,4.639999999999311,TP,411.78999999999826
XAUUSD,2025-04-30 04:15:00,2025-04-30 11:00:00,SELL,3318.75,3285.14,3318.75,3301.875714285714,0.01,33.54000000000013,TP,445.3299999999984
XAUUSD,2025-04-30 23:00:00,2025-05-01 01:00:00,SELL,3294.21,3276.52,3302.2625,3278.705,0.01,17.620000000000054,TP,462.94999999999845
EURUSD,2025-05-02 02:30:00,2025-05-02 03:00:00,BUY,1.12959,1.12899,1.12906,1.1302,0.06,-3.600000000000936,SL,459.3499999999975
XAUUSD,2025-05-02 15:15:00,2025-05-02 16:00:00,SELL,3258.69,3243.65,3258.69,3244.5414285714282,0.01,14.969999999999963,TP,474.3199999999975
EURUSD,2025-05-02 16:00:00,2025-05-02 16:15:00,BUY,1.13209,1.13477,1.1310735714285713,1.1336728571428571,0.03,8.040000000000047,TP,482.3599999999975
EURUSD,2025-05-05 10:15:00,2025-05-05 12:00:00,SELL,1.132,1.13361,1.1330012857142857,1.1304474285714285,0.03,-4.830000000000334,SL,477.5299999999972
EURUSD,2025-05-06 12:00:00,2025-05-06 16:45:00,SELL,1.1320999999999999,1.13526,1.134516,1.1277179999999998,0.01,-3.1600000000000517,SL,474.36999999999716
EURUSD,2025-05-07 18:00:00,2025-05-07 18:15:00,SELL,1.13635,1.13436,1.1369535714285715,1.1355928571428573,0.05,9.949999999999683,TP,484.31999999999687
EURUSD,2025-05-08 04:00:00,2025-05-08 08:00:00,BUY,1.13215,1.13017,1.1308205714285713,1.1343588571428571,0.02,-3.9600000000001856,SL,480.35999999999666
EURUSD,2025-05-08 16:30:00,2025-05-08 17:15:00,BUY,1.12999,1.12933,1.12999,1.1310982857142855,0.04,-2.6400000000004193,SL,477.7199999999962
EURUSD,2025-05-09 01:00:00,2025-05-09 03:00:00,BUY,1.1228900000000002,1.12182,1.12194,1.1243400000000003,0.03,-3.210000000000379,SL,474.50999999999584
EURUSD,2025-05-12 09:00:00,2025-05-12 09:15:00,SELL,1.12313,1.12274,1.123444142857143,1.1229517142857144,0.14,5.459999999998467,TP,479.9699999999943
EURUSD,2025-05-12 09:15:00,2025-05-12 10:00:00,SELL,1.12259,1.11586,1.1234835714285716,1.121252857142857,0.03,20.189999999999706,TP,500.159999999994
XAUUSD,2025-05-13 04:00:00,2025-05-13 04:30:00,SELL,3235.77,3217.37,3242.9835714285714,3221.9428571428566,0.01,18.33000000000009,TP,518.4899999999941
XAUUSD,2025-05-13 14:00:00,2025-05-13 15:15:00,SELL,3252.67,3240.32,3252.67,3240.915,0.01,12.279999999999909,TP,530.769999999994
XAUUSD,2025-05-13 17:15:00,2025-05-13 18:45:00,SELL,3240.3100000000004,3253.44,3252.0760714285716,3217.3778571428575,0.01,-13.199999999999655,SL,517.5699999999943
EURUSD,2025-05-14 10:00:00,2025-05-14 10:15:00,BUY,1.11836,1.11918,1.1178121428571428,1.1190057142857142,0.07,5.740000000000301,TP,523.3099999999946
EURUSD,2025-05-15 11:00:00,2025-05-15 14:00:00,BUY,1.1198700000000001,1.11929,1.1198700000000001,1.1213277142857145,0.03,-1.740000000000741,SL,521.5699999999939
EURUSD,2025-05-16 14:00:00,2025-05-16 16:15:00,SELL,1.12024,1.11896,1.12024,1.1192088571428571,0.04,5.119999999999791,TP,526.6899999999937
XAUUSD,2025-05-16 19:00:00,2025-05-19 01:00:00,BUY,3185.1899999999996,3217.85,3185.1899999999996,3210.477142857143,0.01,32.59000000000031,TP,559.279999999994
EURUSD,2025-05-22 11:00:00,2025-05-22 11:45:00,SELL,1.13305,1.13014,1.13305,1.1309257142857145,0.02,5.819999999999936,TP,565.0999999999939
EURUSD,2025-05-23 01:30:00,2025-05-23 02:45:00,BUY,1.12849,1.12815,1.1281744285714286,1.1286711428571425,0.17,-5.780000000000118,SL,559.3199999999938
XAUUSD,2025-05-26 01:15:00,2025-05-26 01:30:00,SELL,3343.1800000000003,3349.83,3349.1035714285717,3331.932857142857,0.01,-6.7199999999996365,SL,552.5999999999941
EURUSD,2025-05-23 15:15:00,2025-05-26 03:15:00,BUY,1.13263,1.13924,1.13263,1.1387122857142857,0.01,6.610000000000005,TP,559.2099999999941
EURUSD,2025-05-26 11:30:00,2025-05-26 12:30:00,SELL,1.13895,1.13778,1.13895,1.1379991428571428,0.05,5.849999999999468,TP,565.0599999999936
EURUSD,2025-05-30 04:00:00,2025-05-30 04:30:00,SELL,1.13773,1.13627,1.1385375714285715,1.136564857142857,0.04,5.840000000000067,TP,570.8999999999936
XAUUSD,2025-05-30 15:00:00,2025-05-30 16:15:00,BUY,3303.24,3294.63,3296.9821428571427,3315.1557142857146,0.01,-8.679999999999673,SL,562.2199999999939
EURUSD,2025-05-30 15:45:00,2025-05-30 16:45:00,SELL,1.13441,1.13167,1.13441,1.1317079999999997,0.02,5.479999999999929,TP,567.6999999999938
XAUUSD,2025-06-04 13:00:00,2025-06-04 17:00:00,SELL,3359.5600000000004,3366.77,3359.5600000000004,3345.739285714286,0.01,-7.279999999999582,SL,560.4199999999942
EURUSD,2025-06-06 01:15:00,2025-06-06 05:00:00,BUY,1.14473,1.14377,1.1438512857142857,1.1460374285714283,0.04,-3.8400000000002876,SL,556.5799999999939
XAUUSD,2025-06-06 04:30:00,2025-06-06 08:00:00,BUY,3361.8999999999996,3373.96,3361.8999999999996,3373.942142857143,0.01,11.9900000000004,TP,568.5699999999943
EURUSD,2025-06-06 17:15:00,2025-06-06 17:30:00,SELL,1.14116,1.13987,1.1419577142857142,1.1400145714285717,0.04,5.160000000000053,TP,573.7299999999943
EURUSD,2025-06-09 14:45:00,2025-06-09 15:45:00,SELL,1.14153,1.13998,1.14153,1.1402154285714285,0.04,6.199999999999761,TP,579.9299999999942
XAUUSD,2025-06-10 03:00:00,2025-06-10 04:00:00,SELL,3323.26,3313.43,3323.26,3314.597142857143,0.01,9.760000000000382,TP,589.6899999999945
EURUSD,2025-06-10 08:00:00,2025-06-10 10:00:00,BUY,1.1403,1.13776,1.1390134285714286,1.1424231428571427,0.03,-7.619999999999959,SL,582.0699999999945
XAUUSD,2025-06-11 05:00:00,2025-06-11 13:15:00,BUY,3332.49,3331.87,3332.49,3347.6457142857143,0.01,-0.6899999999998909,SL,581.3799999999945
XAUUSD,2025-06-11 13:15:00,2025-06-11 15:15:00,SELL,3331.67,3339.79,3338.681071428571,3318.2478571428574,0.01,-8.189999999999891,SL,573.1899999999946
XAUUSD,2025-06-11 21:00:00,2025-06-12 01:00:00,BUY,3342.25,3361.02,3342.25,3357.3907142857142,0.01,18.69999999999998,TP,591.8899999999945
XAUUSD,2025-06-16 06:00:00,2025-06-16 09:00:00,SELL,3437.44,3419.0,3437.44,3419.3978571428565,0.01,18.370000000000054,TP,610.2599999999945
EURUSD,2025-06-18 04:00:00,2025-06-18 07:30:00,BUY,1.14947,1.15038,1.14947,1.1502519999999996,0.07,6.369999999999766,TP,616.6299999999943
EURUSD,2025-06-18 21:15:00,2025-06-18 22:15:00,SELL,1.1509999999999998,1.14662,1.1509999999999998,1.147289714285714,0.02,8.759999999999657,TP,625.389999999994
EURUSD,2025-06-19 11:00:00,2025-06-19 14:15:00,BUY,1.1466,1.14822,1.1466,1.1478020000000002,0.05,8.099999999999774,TP,633.4899999999938
