time,Open,High,Low,Close,Volume
2024-08-02 18:00:00,0.90314,0.90364,0.90233,0.90341,4153
2024-08-02 19:00:00,0.90339,0.9034,0.90215,0.90309,3823
2024-08-02 20:00:00,0.90308,0.90372,0.90276,0.90305,3113
2024-08-02 21:00:00,0.90304,0.90389,0.90297,0.90342,2820
2024-08-02 22:00:00,0.90342,0.90399,0.90316,0.90384,2817
2024-08-02 23:00:00,0.90384,0.90406,0.90261,0.90311,1488
2024-08-05 00:00:00,0.90157,0.90343,0.90154,0.90305,539
2024-08-05 01:00:00,0.90292,0.90319,0.90189,0.90283,1734
2024-08-05 02:00:00,0.90285,0.90323,0.90164,0.90201,2370
2024-08-05 03:00:00,0.90202,0.90225,0.90013,0.90069,3591
2024-08-05 04:00:00,0.90065,0.902,0.89981,0.90171,3831
2024-08-05 05:00:00,0.9017,0.90266,0.90104,0.90148,3046
2024-08-05 06:00:00,0.90148,0.90209,0.90099,0.90165,2703
2024-08-05 07:00:00,0.90165,0.90184,0.89958,0.90063,3345
2024-08-05 08:00:00,0.90062,0.90092,0.89276,0.89311,4189
2024-08-05 09:00:00,0.8931,0.89324,0.88515,0.88927,5451
2024-08-05 10:00:00,0.88926,0.89581,0.88926,0.89489,4880
2024-08-05 11:00:00,0.89488,0.89584,0.8931,0.89513,3984
2024-08-05 12:00:00,0.89516,0.89568,0.8939,0.89458,3619
2024-08-05 13:00:00,0.8946,0.89475,0.89366,0.89432,3156
2024-08-05 14:00:00,0.89429,0.89449,0.89188,0.89223,3171
2024-08-05 15:00:00,0.89221,0.89316,0.89002,0.89071,4760
2024-08-05 16:00:00,0.89068,0.89927,0.89049,0.8972,5315
2024-08-05 17:00:00,0.89731,0.89945,0.89557,0.8959,5552
2024-08-05 18:00:00,0.89587,0.89797,0.89562,0.89648,4725
2024-08-05 19:00:00,0.89645,0.89883,0.89643,0.89699,4516
2024-08-05 20:00:00,0.897,0.89977,0.89688,0.89795,4366
2024-08-05 21:00:00,0.89795,0.89887,0.89698,0.89699,3922
2024-08-05 22:00:00,0.89697,0.89795,0.8967,0.89772,3636
2024-08-05 23:00:00,0.89766,0.89848,0.89746,0.89806,1917
2024-08-06 00:00:00,0.89803,0.8981,0.89665,0.89728,511
2024-08-06 01:00:00,0.89717,0.89908,0.89717,0.89846,1833
2024-08-06 02:00:00,0.89844,0.90014,0.89844,0.89936,2537
2024-08-06 03:00:00,0.89945,0.9023,0.89939,0.90169,4085
2024-08-06 04:00:00,0.90172,0.90215,0.89942,0.89999,3895
2024-08-06 05:00:00,0.90002,0.90025,0.89896,0.9,3345
2024-08-06 06:00:00,0.90001,0.90017,0.89899,0.89911,2847
2024-08-06 07:00:00,0.8991,0.89992,0.897,0.89895,2924
2024-08-06 08:00:00,0.89896,0.90172,0.89797,0.89997,3647
2024-08-06 09:00:00,0.89982,0.9015,0.89952,0.90029,3973
2024-08-06 10:00:00,0.90027,0.90069,0.89892,0.89898,4091
2024-08-06 11:00:00,0.89897,0.89996,0.89828,0.89928,3496
